Tiempo,Temperatura,Resistencia
5,156.2278,159.4522
10,156.1565,159.3472
15,156.1209,159.5834
20,156.8693,159.859
25,156.7623,159.6753
30,156.9049,159.8196
35,157.4753,159.8328
40,157.4397,159.9246
45,157.5823,159.8853
50,157.5466,159.8984
55,157.5823,160.1215
60,157.1901,159.9246
65,157.618,160.069
70,157.7606,160.1083
75,157.511,160.1608
80,157.9033,160.0952
85,157.9746,160.1608
90,158.0816,160.3577
95,157.6893,160.2921
100,158.1173,160.0034
105,158.5097,160.1477
110,158.1529,160.2921
115,158.26,160.4364
120,158.1529,160.069
125,158.6167,160.0821
130,158.5454,160.174
135,158.6167,160.3577
140,158.1529,160.3314
145,158.9379,160.3839
150,158.4027,160.2396
155,158.9736,160.4233
160,158.1886,160.3314
165,158.5811,160.4495
170,158.1529,160.4102
175,158.3313,160.397
180,158.5454,160.6595
185,158.9736,160.3314
190,158.5454,160.2133
195,158.6167,160.2789
200,158.1173,160.2789
205,158.474,160.397
210,158.3313,160.397
215,158.7238,160.3577
220,158.7595,160.2396
225,158.2956,160.1871
230,158.26,160.2658
235,158.5811,160.0952
240,158.4383,160.3183
245,158.26,160.4364
250,158.4383,160.2133
255,158.5097,160.2658
260,157.9746,160.2002
265,158.1886,160.2658
270,158.367,160.069
275,158.2243,160.3052
280,157.9746,160.2921
285,157.5466,160.1215
290,158.1886,160.1346
295,158.367,160.174
300,158.2956,160.174
305,157.9389,159.964
310,157.9746,160.1477
315,157.4753,159.8853
320,157.6893,160.2133
325,157.3327,159.8196
330,157.404,159.8853
335,157.0831,159.7147
340,156.9049,159.8721
345,157.4753,159.8459
350,157.4397,159.859
355,157.1188,159.6228
360,156.4772,159.649
365,156.798,159.7015
370,156.7623,159.5441
375,156.0496,159.7015
380,156.3703,159.5309
385,156.1565,159.3866
390,156.0496,159.426
395,155.9784,159.1635
400,155.9071,159.321
405,155.6934,159.2029
410,155.4797,159.3866
415,155.6578,159.1898
420,155.6222,159.3341
425,155.6578,159.0717
430,155.0524,158.9798
435,154.91,159.0192
440,154.6964,159.0323
445,154.6252,158.8354
450,154.0201,158.783
455,153.8778,158.5861
460,154.6964,158.573
465,154.0201,158.5861
470,153.4153,158.6255
475,153.6999,158.4418
480,153.1307,158.4155
485,152.704,158.3762
490,152.9529,158.3762
495,153.2374,158.2318
500,152.4551,158.1793
505,152.5617,158.1137
510,152.384,158.1268
515,152.4195,158.035
520,152.2773,157.9562
525,151.1046,157.7988
530,151.4954,157.8119
535,151.9218,157.8513
540,151.3533,157.7069
545,151.4243,157.72
550,150.5007,157.4707
555,150.6073,157.4969
560,150.1811,157.4051
565,150.0036,157.4182
570,150.1101,157.3395
575,150.5007,157.2476
580,149.1162,156.8671
585,149.5066,157.182
590,149.4711,157.0245
595,148.9388,156.8408
600,148.9033,156.8408
605,148.4421,156.8015
610,148.3002,156.6965
615,147.8392,156.3815
620,148.052,156.3684
625,147.6264,156.2503
630,147.2364,156.1322
