Tiempo,Temperatura,Resistencia
5,29.1855,111.5155
10,29.4564,111.3449
15,28.9146,111.3843
20,29.4903,111.5155
25,29.5919,111.3318
30,29.6596,111.4499
35,29.4226,111.3449
40,29.6596,111.4236
45,29.321,111.4499
50,29.5242,111.5286
55,29.3887,111.4761
60,29.1178,111.3449
65,29.5919,111.5942
70,29.8967,111.5417
75,29.7951,111.6074
80,29.8967,111.6992
85,29.829,111.6336
90,29.9984,111.7255
95,30.2355,111.673
100,30.3371,111.8436
105,30.2694,111.8567
110,30.5743,111.8961
115,31.0147,112.1191
120,30.947,112.0667
125,31.1164,112.1454
130,31.5569,112.0929
135,31.9636,112.3816
140,31.7603,112.3947
145,32.4043,112.5653
150,32.3026,112.6703
155,33.0823,112.6047
160,33.5231,112.9065
165,33.2857,112.9984
170,33.557,113.064
175,34.0996,113.1952
180,33.9639,113.1952
185,34.8458,113.3527
190,35.3207,113.5233
195,35.4225,113.8513
200,35.5921,113.8644
205,36.0672,114.1006
210,36.1351,114.245
215,36.5763,114.2056
220,37.0515,114.4156
225,37.357,114.4943
230,38.1379,114.8093
235,38.3756,114.8486
240,38.6472,114.993
245,39.0208,115.3079
250,39.7681,115.2686
255,39.7681,115.6229
260,40.2438,115.6622
265,40.5156,115.8591
270,41.0253,116.0428
275,41.3992,116.1215
280,42.147,116.2003
285,42.317,116.5152
290,42.895,116.6595
295,43.0651,116.817
300,43.3711,117.0007
305,44.2895,117.0926
310,44.4256,117.2763
315,44.8339,117.4338
320,45.004,117.4469
325,45.9228,117.67
330,46.4334,117.9718
335,46.7738,118.2343
340,47.1483,118.3392
345,47.5229,118.5886
350,48.3402,118.7329
355,48.3402,118.8641
360,48.8512,118.9691
365,49.5326,119.2578
370,49.9756,119.389
375,50.3164,119.7827
380,51.0662,119.6515
385,51.6117,119.9664
390,51.8163,120.0452
395,52.1914,120.0452
400,52.9758,120.5045
405,53.1122,120.78
410,53.8287,120.6226
415,54.1357,121.0425
420,54.4429,121.1737
425,54.8524,121.3574
430,55.4326,121.3968
435,56.1496,121.6986
440,56.7301,121.9217
445,56.6959,122.0792
450,57.379,122.1448
455,58.028,122.381
460,58.5747,122.5909
465,58.7114,122.8796
470,59.4974,123.0896
475,59.7709,123.2077
480,60.4888,123.3521
485,61.0017,123.6014
490,61.8225,123.8638
495,62.0278,124.1656
500,62.8146,124.3494
505,62.8831,124.3887
510,63.4991,124.6381
515,64.4232,124.848
520,64.5944,124.8743
525,65.2107,125.3336
530,65.5532,125.4517
535,66.5465,125.6354
540,66.615,125.7272
545,66.9576,126.2259
550,67.4373,126.2521
555,68.2942,126.5146
560,69.0141,126.7377
565,69.357,126.8427
570,69.7342,127.1445
575,70.3516,127.3282
580,71.0034,127.5119
585,71.3808,127.7875
590,71.7926,127.8006
595,72.582,128.1943
600,73.2343,128.168
605,73.6463,128.4305
610,74.0584,128.6929
615,74.7454,128.8766
620,74.9859,129.0997
625,75.3982,129.3097
630,76.6698,129.5328
635,77.048,129.7296
640,77.4262,129.9658
645,78.2859,130.3333
